<TICKER>	<PER>	<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<VOL>	DATE
SBER	D	20200505	0	195.5400000	196.4600000	194.0000000	194.7500000	35239920	2020-05-05
SBER	D	20200506	0	194.9900000	197.2300000	194.3000000	195.7000000	49513900	2020-05-06
SBER	D	20200507	0	196.0000000	198.1500000	195.0600000	195.5100000	57670560	2020-05-07
SBER	D	20200508	0	196.0000000	196.2500000	194.6000000	196.0200000	33775280	2020-05-08
SBER	D	20200512	0	193.3000000	198.0000000	191.2000000	191.4000000	67270320	2020-05-12
SBER	D	20200513	0	190.0500000	190.6000000	186.6600000	187.3100000	63256890	2020-05-13
SBER	D	20200514	0	186.4900000	188.2000000	183.5000000	183.8100000	76532900	2020-05-14
SBER	D	20200515	0	186.1300000	186.7800000	183.3300000	183.8500000	63033850	2020-05-15
SBER	D	20200518	0	186.0600000	190.0000000	185.4000000	188.9300000	77252650	2020-05-18
SBER	D	20200519	0	190.3800000	192.5500000	186.8000000	189.0000000	105168650	2020-05-19
SBER	D	20200520	0	188.4500000	193.9800000	186.6000000	193.9800000	93311880	2020-05-20
SBER	D	20200521	0	194.0000000	196.3100000	191.5000000	192.4000000	79390610	2020-05-21
SBER	D	20200522	0	190.9700000	191.2500000	188.6000000	188.9000000	56926660	2020-05-22
SBER	D	20200525	0	189.6200000	191.3100000	188.8000000	191.0000000	23090830	2020-05-25
SBER	D	20200526	0	192.8300000	196.1000000	192.1100000	194.0000000	79038520	2020-05-26
SBER	D	20200527	0	194.0100000	198.9700000	193.3200000	198.5100000	115900270	2020-05-27
SBER	D	20200528	0	199.3300000	205.0000000	198.4000000	205.0000000	117073600	2020-05-28
SBER	D	20200529	0	204.2000000	204.4000000	199.1700000	200.5000000	106525280	2020-05-29
SBER	D	20200601	0	203.1000000	205.9300000	201.8100000	203.6600000	65100110	2020-06-01
SBER	D	20200602	0	204.5700000	212.0000000	204.0000000	212.0000000	116798700	2020-06-02
SBER	D	20200603	0	214.0000000	221.9200000	213.5100000	221.5000000	144505760	2020-06-03
SBER	D	20200604	0	220.6700000	221.0000000	212.5500000	213.1000000	122406780	2020-06-04
SBER	D	20200605	0	215.1300000	219.9300000	213.6000000	219.1000000	88508590	2020-06-05
SBER	D	20200608	0	219.7300000	223.1500000	217.4500000	220.3000000	88612450	2020-06-08
SBER	D	20200609	0	221.1900000	221.8800000	215.4400000	217.2300000	69097350	2020-06-09
SBER	D	20200610	0	217.0000000	217.5800000	211.8200000	212.5300000	91851980	2020-06-10
SBER	D	20200611	0	208.9900000	209.2400000	206.0100000	208.3500000	69726170	2020-06-11
SBER	D	20200615	0	205.0700000	207.8500000	202.3000000	207.3200000	75360850	2020-06-15
SBER	D	20200616	0	210.3000000	212.1900000	207.5200000	207.7600000	66267920	2020-06-16
SBER	D	20200617	0	208.5200000	210.3500000	206.9400000	208.1400000	56455710	2020-06-17
SBER	D	20200618	0	207.8000000	208.1000000	202.7200000	203.7700000	72204680	2020-06-18
SBER	D	20200619	0	205.3900000	209.2000000	204.5500000	207.0000000	74923730	2020-06-19
SBER	D	20200622	0	206.7000000	207.9500000	204.2800000	206.4000000	58621480	2020-06-22
SBER	D	20200623	0	207.5100000	209.7400000	206.4300000	207.3000000	53213440	2020-06-23
SBER	D	20200625	0	200.9900000	207.0000000	200.7500000	206.9200000	70420930	2020-06-25
SBER	D	20200626	0	206.9700000	207.5000000	201.7600000	203.1500000	46627040	2020-06-26
SBER	D	20200629	0	201.0900000	205.8600000	200.9700000	205.8000000	42613600	2020-06-29
SBER	D	20200630	0	205.6600000	206.0000000	202.3600000	203.2200000	43705610	2020-06-30
SBER	D	20200702	0	205.0100000	210.1500000	204.2800000	209.6000000	76154820	2020-07-02
SBER	D	20200703	0	210.0000000	211.9700000	209.0000000	210.9500000	50602810	2020-07-03
SBER	D	20200706	0	212.9400000	216.7900000	212.9400000	214.6100000	55118170	2020-07-06
SBER	D	20200707	0	212.9000000	214.2300000	210.5100000	210.5300000	44709210	2020-07-07
SBER	D	20200708	0	210.8000000	212.2900000	209.3000000	210.9700000	41999670	2020-07-08
SBER	D	20200709	0	210.7000000	211.7000000	208.1000000	209.1100000	45129130	2020-07-09
SBER	D	20200710	0	207.5000000	212.6000000	206.5700000	212.2800000	50631590	2020-07-10
SBER	D	20200713	0	213.8600000	214.2000000	208.1100000	208.3900000	51159680	2020-07-13
SBER	D	20200714	0	208.3800000	209.5800000	205.7000000	209.5000000	65996740	2020-07-14
SBER	D	20200715	0	210.2900000	211.8000000	207.6500000	211.0900000	49443460	2020-07-15
SBER	D	20200716	0	209.7000000	212.6000000	208.6300000	211.3500000	38986190	2020-07-16
SBER	D	20200717	0	211.6800000	212.1800000	209.8600000	210.8100000	36123640	2020-07-17
SBER	D	20200720	0	210.2700000	214.4800000	209.0800000	213.8900000	44482520	2020-07-20
SBER	D	20200721	0	215.0000000	219.1000000	214.3800000	215.7300000	75241030	2020-07-21
SBER	D	20200722	0	215.9800000	217.6500000	213.5600000	216.7100000	48418830	2020-07-22
SBER	D	20200723	0	217.4900000	219.2800000	215.0000000	215.4100000	43348380	2020-07-23
SBER	D	20200724	0	214.7800000	217.4100000	197.7300000	215.9700000	53375040	2020-07-24
SBER	D	20200727	0	216.6400000	218.3800000	215.1500000	216.9000000	38282820	2020-07-27
SBER	D	20200728	0	216.8200000	217.4200000	215.2500000	215.5300000	24557890	2020-07-28
SBER	D	20200729	0	215.8900000	219.1800000	215.6300000	219.1800000	41332240	2020-07-29
SBER	D	20200730	0	218.7100000	218.8800000	215.3400000	218.1500000	51172130	2020-07-30
SBER	D	20200731	0	218.1800000	221.9800000	217.4300000	221.5700000	59643550	2020-07-31
SBER	D	20200803	0	222.2700000	228.3600000	221.3000000	226.7200000	64491510	2020-08-03
SBER	D	20200804	0	227.3900000	228.8500000	225.6300000	227.1600000	41990440	2020-08-04
SBER	D	20200805	0	228.1500000	229.1700000	224.3100000	226.4000000	54596910	2020-08-05
SBER	D	20200806	0	226.6000000	227.4300000	224.3500000	226.0000000	30150840	2020-08-06
SBER	D	20200807	0	225.0500000	227.6000000	224.4600000	227.2800000	35603190	2020-08-07
SBER	D	20200810	0	227.8800000	228.7000000	224.5100000	225.9900000	43443970	2020-08-10
SBER	D	20200811	0	226.2100000	234.7300000	226.2100000	232.6500000	81839190	2020-08-11
